Namespace(char='16', dev='19,21', embed='16', filetype='ner', mlp='32', output='small16_ner_adam', test='22,24', train='0,18', trainer='adam', word='16')
Epoch: 0
Validation loss: 160034.755737
Validation accuracy: 0.005714
Test accuracy: 0.008762
Validation loss: 101824.156555
Validation accuracy: 0.910285
Test accuracy: 0.914571
Validation loss: 99366.058472
Validation accuracy: 0.910075
Test accuracy: 0.914755
Validation loss: 96546.197632
Validation accuracy: 0.914921
Test accuracy: 0.918867
Validation loss: 96034.085938
Validation accuracy: 0.916979
Test accuracy: 0.922596
Training loss: 683039.779968
Training accuracy: 0.924979

Epoch: 1
Validation loss: 95376.166199
Validation accuracy: 0.917288
Test accuracy: 0.924453
Validation loss: 94836.845093
Validation accuracy: 0.918716
Test accuracy: 0.923870
Validation loss: 94732.646545
Validation accuracy: 0.919444
Test accuracy: 0.927108
Validation loss: 94437.658508
Validation accuracy: 0.919892
Test accuracy: 0.928428
Validation loss: 93641.929382
Validation accuracy: 0.921811
Test accuracy: 0.929257
Training loss: 636528.602600
Training accuracy: 0.930082

Epoch: 2
Validation loss: 93528.722168
Validation accuracy: 0.921965
Test accuracy: 0.929579
Validation loss: 93813.350037
Validation accuracy: 0.922567
Test accuracy: 0.929195
Validation loss: 93248.954834
Validation accuracy: 0.923254
Test accuracy: 0.930776
Validation loss: 93459.086243
Validation accuracy: 0.924990
Test accuracy: 0.931328
Validation loss: 92946.378113
Validation accuracy: 0.926741
Test accuracy: 0.931896
Training loss: 630019.557434
Training accuracy: 0.933332

Epoch: 3
Validation loss: 93409.662537
Validation accuracy: 0.925662
Test accuracy: 0.932448
Validation loss: 92854.917114
Validation accuracy: 0.927175
Test accuracy: 0.932448
Validation loss: 93376.555664
Validation accuracy: 0.925172
Test accuracy: 0.932080
Validation loss: 93390.052795
Validation accuracy: 0.926027
Test accuracy: 0.933860
Validation loss: 93550.945251
Validation accuracy: 0.926741
Test accuracy: 0.934397
Training loss: 628060.765320
Training accuracy: 0.935849

Epoch: 4
Validation loss: 93121.419312
Validation accuracy: 0.927735
Test accuracy: 0.935917
Validation loss: 93074.008423
Validation accuracy: 0.928701
Test accuracy: 0.934934
Validation loss: 92294.508789
Validation accuracy: 0.928015
Test accuracy: 0.933185
Validation loss: 92618.328674
Validation accuracy: 0.927287
Test accuracy: 0.934934
Validation loss: 93073.448730
Validation accuracy: 0.929542
Test accuracy: 0.935824
Training loss: 626928.244141
Training accuracy: 0.937458

Epoch: 5
Validation loss: 92495.105408
Validation accuracy: 0.930214
Test accuracy: 0.936285
Validation loss: 93219.839783
Validation accuracy: 0.929682
Test accuracy: 0.936269
Validation loss: 92565.968994
Validation accuracy: 0.930438
Test accuracy: 0.937006
Validation loss: 92321.632385
Validation accuracy: 0.931222
Test accuracy: 0.936500
Validation loss: 92545.348877
Validation accuracy: 0.930102
Test accuracy: 0.937957
Training loss: 625266.606262
Training accuracy: 0.938848

Epoch: 6
Validation loss: 92828.388855
Validation accuracy: 0.931727
Test accuracy: 0.938863
Validation loss: 92796.412842
Validation accuracy: 0.934513
Test accuracy: 0.937160
Validation loss: 92444.370361
Validation accuracy: 0.931180
Test accuracy: 0.939830
Validation loss: 91826.307190
Validation accuracy: 0.932721
Test accuracy: 0.940858
Validation loss: 92272.999756
Validation accuracy: 0.933015
Test accuracy: 0.939799
Training loss: 624897.029053
Training accuracy: 0.942044

Epoch: 7
Validation loss: 91859.068237
Validation accuracy: 0.935018
Test accuracy: 0.939738
Validation loss: 92041.113525
Validation accuracy: 0.935200
Test accuracy: 0.940213
Validation loss: 92081.139954
Validation accuracy: 0.935158
Test accuracy: 0.942239
Validation loss: 92485.682983
Validation accuracy: 0.938001
Test accuracy: 0.941825
Validation loss: 92239.181946
Validation accuracy: 0.938029
Test accuracy: 0.941855
Training loss: 620671.750366
Training accuracy: 0.945148

Epoch: 8
Validation loss: 91561.722717
Validation accuracy: 0.936348
Test accuracy: 0.942745
Validation loss: 91828.904541
Validation accuracy: 0.937707
Test accuracy: 0.943390
Validation loss: 91317.586609
Validation accuracy: 0.940241
Test accuracy: 0.943206
Validation loss: 91856.415283
Validation accuracy: 0.938505
Test accuracy: 0.942899
Validation loss: 91404.117920
Validation accuracy: 0.940634
Test accuracy: 0.945155
Training loss: 620756.269714
Training accuracy: 0.947725

Epoch: 9
Validation loss: 92031.199829
Validation accuracy: 0.941978
Test accuracy: 0.945523
Validation loss: 91415.950439
Validation accuracy: 0.940998
Test accuracy: 0.945047
Validation loss: 91568.848145
Validation accuracy: 0.940998
Test accuracy: 0.944403
Validation loss: 92103.598877
Validation accuracy: 0.941292
Test accuracy: 0.945369
Validation loss: 91744.986511
Validation accuracy: 0.941110
Test accuracy: 0.944771
Training loss: 619822.894409
Training accuracy: 0.948804

Epoch: 10
Validation loss: 91573.950500
Validation accuracy: 0.940606
Test accuracy: 0.944387
Validation loss: 91672.830933
Validation accuracy: 0.940984
Test accuracy: 0.944495
Validation loss: 91580.855713
Validation accuracy: 0.938911
Test accuracy: 0.943144
Validation loss: 91781.239319
Validation accuracy: 0.942482
Test accuracy: 0.946766
Validation loss: 91777.334229
Validation accuracy: 0.943252
Test accuracy: 0.945830
Training loss: 617894.775757
Training accuracy: 0.948674

Epoch: 11
Validation loss: 91563.930542
Validation accuracy: 0.942370
Test accuracy: 0.945968
Validation loss: 91293.289551
Validation accuracy: 0.943168
Test accuracy: 0.946413
Validation loss: 91913.505066
Validation accuracy: 0.943841
Test accuracy: 0.946413
Validation loss: 91783.594360
Validation accuracy: 0.943757
Test accuracy: 0.945999
Validation loss: 91899.322937
Validation accuracy: 0.942776
Test accuracy: 0.945784
Training loss: 618863.537720
Training accuracy: 0.950066

Epoch: 12
Validation loss: 91213.272339
Validation accuracy: 0.945171
Test accuracy: 0.946321
Validation loss: 91738.520142
Validation accuracy: 0.943042
Test accuracy: 0.945293
Validation loss: 91697.362305
Validation accuracy: 0.943771
Test accuracy: 0.947671
Validation loss: 91802.648560
Validation accuracy: 0.944191
Test accuracy: 0.947487
Validation loss: 90977.441711
Validation accuracy: 0.945577
Test accuracy: 0.946981
Training loss: 618431.955933
Training accuracy: 0.951401

Epoch: 13
Validation loss: 91789.155212
Validation accuracy: 0.944681
Test accuracy: 0.947840
Validation loss: 90768.974792
Validation accuracy: 0.945759
Test accuracy: 0.946229
Validation loss: 91411.816589
Validation accuracy: 0.943238
Test accuracy: 0.945891
Validation loss: 91262.679504
Validation accuracy: 0.945423
Test accuracy: 0.948500
Validation loss: 91807.111877
Validation accuracy: 0.943869
Test accuracy: 0.948009
Training loss: 616243.443176
Training accuracy: 0.951666

Epoch: 14
Validation loss: 91455.583801
Validation accuracy: 0.946670
Test accuracy: 0.946827
Validation loss: 91282.600342
Validation accuracy: 0.946362
Test accuracy: 0.947564
Validation loss: 91327.290161
Validation accuracy: 0.944919
Test accuracy: 0.947533
Validation loss: 91580.220032
Validation accuracy: 0.944415
Test accuracy: 0.947579
